AplicacionID,ClaveAplicacion,NumLinea,Referencia,ObjetoBDID,Objeto,TipoObjetoID,TipoObjeto,BaseDatosID,BaseDatos,Archivo,Extension,BibPadre,ObjPadre
"0","5","158","MsgBox La cadena sql no esta bien construida","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEdSQLPort.frm","FRM","frmEdSQLPort","frmEdSQLPort"
"0","5","193","MsgBox La cadena sql no esta bien construida","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEdSQLPort.frm","FRM","frmEdSQLPort","frmEdSQLPort"
"0","5","514","MsgBox Carga los escenarios definidos como mas extremos en la tabla historica","2764","CARGA","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEjecucionProc.frm","FRM","frmEjecucionProc","frmEjecucionProc"
"0","5","762","MsgBox no se tienen todos los datos para calcular la proyeccion de tasas","2719","TASAS","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEjecucionProc.frm","FRM","frmEjecucionProc","frmEjecucionProc"
"0","5","186","Caption         =   Obtener flujos creditos del SIC","2433","CREDITOS","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEjecucionProc2.frm","FRM","frmEjecucionProc2","frmEjecucionProc2"
"0","5","314","Caption         =   Extracci�n del catalogo de cadenas SQL","84","CATALOGO","1","USER_TABLE","1","COFINI","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEjecucionProc2.frm","FRM","frmEjecucionProc2","frmEjecucionProc2"
"0","5","219","Caption         =   Estadistica descriptiva","2284","ESTADISTICA","2","SQL_STORED_PROCEDURE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEstadisticas.Frm","FRM","frmEstadisticas","frmEstadisticas"
"0","5","219","Caption         =   Estadistica descriptiva","2343","ESTADISTICA","6","SQL_TRIGGER","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEstadisticas.Frm","FRM","frmEstadisticas","frmEstadisticas"
"0","5","549","Caption         =   Acerca del programa","1987","PROGRAMA","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEstadisticas.Frm","FRM","frmEstadisticas","frmEstadisticas"
"0","5","755","MSFlexGrid3.Text = Valor X","440","X","1","USER_TABLE","1","COFINI","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmEstadisticas.Frm","FRM","frmEstadisticas","frmEstadisticas"
